,C,Minimum energy,Best Ti sites,Total time
0,500,-123.89331691915855,"[(6, 8), (8, 6), (2, 2), (3, 1), (1, 1), (1, 3), (7, 7), (8, 8)]",216.0175578269991
1,250,-123.91169923373506,"[(1, 1), (1, 3), (2, 8), (1, 5), (5, 1), (1, 7), (2, 2), (3, 1)]",198.38582398799917
2,100,-123.91169923373444,"[(1, 4), (1, 8), (5, 8), (8, 7), (2, 7), (3, 8), (1, 6), (7, 8)]",205.95879314400008
3,50,-123.91169923373462,"[(1, 4), (1, 8), (5, 8), (8, 7), (2, 7), (3, 8), (1, 6), (7, 8)]",202.01122882900017
4,10,-123.91169923373505,"[(1, 4), (1, 8), (5, 8), (8, 7), (2, 7), (3, 8), (1, 6), (7, 8)]",203.68479096100054
5,1,-123.91169923373467,"[(1, 4), (1, 8), (5, 8), (8, 7), (2, 7), (3, 8), (1, 6), (7, 8)]",201.7629705770014
6,0.5,-123.91169923373506,"[(8, 8), (2, 8), (6, 8), (4, 8), (1, 7), (8, 6), (8, 4), (7, 7)]",207.13833033600167
7,0.05,-123.91169923373505,"[(1, 4), (1, 8), (5, 8), (8, 7), (2, 7), (3, 8), (1, 6), (7, 8)]",191.9586098079999
8,0.005,-123.91169923373462,"[(1, 4), (1, 8), (5, 8), (8, 7), (2, 7), (3, 8), (1, 6), (7, 8)]",191.31049853600052
